filename,filetype,asset_purpose,asset_type,usage_context,reuse_notes
# CHARACTER SPRITES
elowen_idle.png,PNG,Elowen base idle pose,2D Sprite,story_scenes|overworld,Base sprite for all Elowen variations
elowen_talking.png,PNG,Elowen talking animation,2D Sprite,story_scenes,Reused in all dialogue scenes
elowen_working.png,PNG,Elowen working on electronics,2D Sprite,story_scenes|workshop_scenes,Workshop and repair contexts
elowen_pointing.png,PNG,Elowen explaining/teaching,2D Sprite,story_scenes|tutorial,Tutorial and explanation scenes
elowen_concerned.png,PNG,Elowen worried expression,2D Sprite,story_scenes,Crisis and problem discussion scenes
elowen_confident.png,PNG,Elowen confident/pleased,2D Sprite,story_scenes|council_scene,Success moments and council scene
kai_idle.png,PNG,Kai base idle pose,2D Sprite,story_scenes|overworld,Base sprite for all Kai variations
kai_excited.png,PNG,Kai enthusiastic expression,2D Sprite,story_scenes,Learning moments and discoveries
kai_confused.png,PNG,Kai puzzled/thinking,2D Sprite,story_scenes|tutorial,Learning difficulty moments
kai_working.png,PNG,Kai hands-on learning,2D Sprite,story_scenes|workshop_scenes,Workshop collaboration scenes
kai_proud.png,PNG,Kai accomplished/confident,2D Sprite,story_scenes|council_scene,Achievement moments
nima_idle.png,PNG,Nima base idle pose,2D Sprite,story_scenes|overworld,Base sprite for all Nima variations
nima_explaining.png,PNG,Nima teaching ecology,2D Sprite,story_scenes|greenhouse_scenes,Environmental education scenes
nima_observing.png,PNG,Nima studying systems,2D Sprite,story_scenes|overworld,System observation contexts
nima_concerned.png,PNG,Nima environmental worry,2D Sprite,story_scenes,Sustainability concern scenes
nima_thoughtful.png,PNG,Nima contemplative pose,2D Sprite,story_scenes|council_scene,Deep thinking moments
soren_idle.png,PNG,Soren base idle pose,2D Sprite,story_scenes|overworld,Base sprite for all Soren variations
soren_observing.png,PNG,Soren watching/listening,2D Sprite,story_scenes,Background observation scenes
soren_working.png,PNG,Soren technical work,2D Sprite,story_scenes|comm_center,Communication system work
soren_speaking.png,PNG,Soren rare speaking moment,2D Sprite,story_scenes|council_scene,Important dialogue moments
juniper_idle.png,PNG,Juniper base idle pose,2D Sprite,story_scenes|overworld,Base sprite for all Juniper variations
juniper_guarded.png,PNG,Juniper cautious expression,2D Sprite,story_scenes,Early relationship scenes
juniper_racing_focus.png,PNG,Juniper in racing mode,2D Sprite,story_scenes|racing_prep,Racing expertise scenes
juniper_teaching.png,PNG,Juniper sharing knowledge,2D Sprite,story_scenes|racing_prep,Coaching and instruction
juniper_determined.png,PNG,Juniper resolved expression,2D Sprite,story_scenes|council_scene,Decision and commitment moments
rowan_idle.png,PNG,Rowan base idle pose,2D Sprite,story_scenes|overworld,Base sprite for all Rowan variations
rowan_excited.png,PNG,Rowan enthusiastic about tech,2D Sprite,story_scenes|workshop_scenes,Technical excitement moments
rowan_working.png,PNG,Rowan hands-on building,2D Sprite,story_scenes|workshop_scenes|minigames,Mechanical work contexts
rowan_teaching.png,PNG,Rowan explaining mechanics,2D Sprite,story_scenes|tutorial,Mechanical education scenes
zephyr_idle.png,PNG,Zephyr base idle pose,2D Sprite,story_scenes|overworld,Base sprite for all Zephyr variations
zephyr_addressing.png,PNG,Zephyr speaking to group,2D Sprite,story_scenes|council_scene,Leadership and meeting contexts
zephyr_concerned.png,PNG,Zephyr worried about village,2D Sprite,story_scenes,Problem discussion scenes
zephyr_wise.png,PNG,Zephyr contemplative/sage,2D Sprite,story_scenes,Wisdom sharing moments
player_idle.png,PNG,Player character base pose,2D Sprite,story_scenes|overworld,Player avatar for all contexts
player_working.png,PNG,Player working on tech,2D Sprite,story_scenes|workshop_scenes|minigames,Technical work contexts
player_explaining.png,PNG,Player teaching/presenting,2D Sprite,story_scenes|council_scene,Explanation and presentation scenes
villager_01.png,PNG,Generic villager type 1,2D Sprite,story_scenes|council_scene|overworld,Background population
villager_02.png,PNG,Generic villager type 2,2D Sprite,story_scenes|council_scene|overworld,Background population
villager_03.png,PNG,Generic villager type 3,2D Sprite,story_scenes|council_scene|overworld,Background population
villager_04.png,PNG,Generic villager type 4,2D Sprite,story_scenes|council_scene|overworld,Background population

